"DisplayName","UserPrincipalName","JobTitle","Department","AccountEnabled"
"Adele Vance","AdeleV@REDACTED.onmicrosoft.com","Retail Manager","Retail","True"
"Alex Wilber","AlexW@REDACTED.onmicrosoft.com","Marketing Assistant","Marketing","True"
"Diego Siciliani","DiegoS@REDACTED.onmicrosoft.com","HR Manager","HR","True"
"LAB Guest user","REDACTED#EXT#@REDACTED.onmicrosoft.com",,,"True"
"Grady Archie","GradyA@REDACTED.onmicrosoft.com","Designer","R&D","True"
"Henrietta Mueller","HenriettaM@REDACTED.onmicrosoft.com","Developer","R&D","True"
"Isaiah Langer","IsaiahL@REDACTED.onmicrosoft.com","Sales Rep","Sales","True"
"Johanna Lorenz","JohannaL@REDACTED.onmicrosoft.com","Senior Engineer","Engineering","True"
"Joni Sherman","JoniS@REDACTED.onmicrosoft.com","Paralegal","Legal","True"
"Lab Admin","lab-admin@REDACTED.onmicrosoft.com",,"IT","True"
"Lab BG Admin 01","lab-bg-admin-01@REDACTED.onmicrosoft.com",,,"True"
"Lab BG Admin 02","lab-bg-admin-02@REDACTED.onmicrosoft.com",,,"True"
"Lab User 01","lab-user-01@REDACTED.onmicrosoft.com",,"IT","True"
"Lab User 02","lab-user-02@REDACTED.onmicrosoft.com",,"IT","True"
"Lab User 03","lab-user-03@REDACTED.onmicrosoft.com",,"HR","True"
"Lab User 04","lab-user-04@REDACTED.onmicrosoft.com",,"HR","True"
"Lab User 05","lab-user-05@REDACTED.onmicrosoft.com",,"Finance","True"
"Lab User 06","lab-user-06@REDACTED.onmicrosoft.com",,"Finance","True"
"Lee Gu","LeeG@REDACTED.onmicrosoft.com","Director","Manufacturing","True"
"Lidia Holloway","LidiaH@REDACTED.onmicrosoft.com","Product Manager","Engineering","True"
"Lynne Robbins","LynneR@REDACTED.onmicrosoft.com","Planner","Retail","True"
"Megan Bowen","MeganB@REDACTED.onmicrosoft.com","Marketing Manager","Marketing","True"
"Miriam Graham","MiriamG@REDACTED.onmicrosoft.com","Director","Sales & Marketing","True"
"Nestor Wilke","NestorW@REDACTED.onmicrosoft.com","Director","Operations","True"
"Patti Fernandez","PattiF@REDACTED.onmicrosoft.com","President","Executive Management","True"
"Pavel Dvorak","Pavel_Lab@REDACTED.onmicrosoft.com",,,"True"
"Pradeep Gupta","PradeepG@REDACTED.onmicrosoft.com","Accountant","Finance","True"
